animal,age,reactionTime
mammal,under 6,3.69
mammal,under 6,4.02
mammal,under 6,5.81
mammal,under 6,4.32
mammal,under 6,4.38
mammal,under 6,5.97
mammal,under 6,4.71
mammal,under 6,2.98
mammal,under 6,3.56
mammal,under 6,3.8
mammal,under 6,5.47
mammal,under 6,4.61
mammal,under 6,4.65
mammal,under 6,4.36
mammal,under 6,3.69
mammal,under 6,6.04
mammal,under 6,4.75
mammal,under 6,2.28
mammal,under 6,4.95
mammal,under 6,3.78
mammal,under 6,3.18
mammal,under 6,4.03
mammal,under 6,3.22
mammal,under 6,3.52
mammal,under 6,3.62
mammal,under 6,2.56
mammal,under 6,5.09
mammal,under 6,4.4
mammal,under 6,3.11
mammal,under 6,5.5
mammal,6+,3.68
mammal,6+,2.95
mammal,6+,4.15
mammal,6+,4.13
mammal,6+,4.07
mammal,6+,3.94
mammal,6+,3.8
mammal,6+,3.19
mammal,6+,2.94
mammal,6+,2.87
mammal,6+,2.56
mammal,6+,3.04
mammal,6+,1.98
mammal,6+,5.42
mammal,6+,4.46
mammal,6+,2.13
mammal,6+,2.85
mammal,6+,2.78
mammal,6+,4.03
mammal,6+,3.17
mammal,6+,3.5
mammal,6+,3.22
mammal,6+,3.21
mammal,6+,4.62
mammal,6+,3.02
mammal,6+,4.77
mammal,6+,1.7
mammal,6+,3.83
mammal,6+,3.37
mammal,6+,3.47
reptile,under 6,4.88
reptile,under 6,4
reptile,under 6,4.17
reptile,under 6,3.48
reptile,under 6,3.43
reptile,under 6,4.8
reptile,under 6,4.95
reptile,under 6,4.55
reptile,under 6,5.42
reptile,under 6,6.55
reptile,under 6,4.01
reptile,under 6,2.19
reptile,under 6,5.51
reptile,under 6,3.79
reptile,under 6,3.81
reptile,under 6,5.53
reptile,under 6,4.22
reptile,under 6,3.28
reptile,under 6,4.68
reptile,under 6,4.36
reptile,6+,3.51
reptile,6+,3.89
reptile,6+,3.13
reptile,6+,4.14
reptile,6+,3.28
reptile,6+,3.83
reptile,6+,4.6
reptile,6+,3.94
reptile,6+,3.17
reptile,6+,4.65
reptile,6+,4.49
reptile,6+,4.05
reptile,6+,3.74
reptile,6+,2.87
reptile,6+,4.86
reptile,6+,2.9
reptile,6+,5.69
reptile,6+,5.03
reptile,6+,3.26
reptile,6+,2.47
bird,under 6,4.04
bird,under 6,5.01
bird,under 6,4.5
bird,under 6,4.4
bird,under 6,3.8
bird,under 6,4.7
bird,under 6,3.97
bird,under 6,3.08
bird,under 6,4.37
bird,under 6,5.67
bird,under 6,4.17
bird,under 6,5.36
bird,under 6,3.13
bird,under 6,4.69
bird,under 6,5.27
bird,under 6,5.05
bird,under 6,4.86
bird,under 6,4.11
bird,under 6,3.9
bird,under 6,3.73
bird,under 6,4.87
bird,under 6,3.8
bird,under 6,4.26
bird,under 6,4.49
bird,under 6,6.59
bird,6+,3.1
bird,6+,3.99
bird,6+,3.83
bird,6+,2.79
bird,6+,3.68
bird,6+,5.19
bird,6+,4.2
bird,6+,3.79
bird,6+,3.33
bird,6+,1.7
bird,6+,4.88
bird,6+,2.29
bird,6+,4.49
bird,6+,5.66
bird,6+,2.31
bird,6+,4.45
bird,6+,3.49
bird,6+,2.18
bird,6+,2.24
bird,6+,2.15
bird,6+,3.22
bird,6+,2.29
bird,6+,4.44
bird,6+,5.85
bird,6+,2.46
