animalType,age,reactionTime
mammal,under 6,2.54
mammal,under 6,2.52
mammal,under 6,2.08
mammal,under 6,0.74
mammal,under 6,1.63
mammal,under 6,1.47
mammal,under 6,2.31
mammal,under 6,1.38
mammal,under 6,2.73
mammal,under 6,1.38
mammal,under 6,2.8
mammal,under 6,0.7
mammal,under 6,0.49
mammal,under 6,4.99
mammal,under 6,1.33
mammal,under 6,2.05
mammal,under 6,2.39
mammal,under 6,1.27
mammal,under 6,2.27
mammal,under 6,2.12
mammal,under 6,1.53
mammal,under 6,1.82
mammal,under 6,1.72
mammal,under 6,3.88
mammal,under 6,1.01
mammal,under 6,0.65
mammal,under 6,1.79
mammal,under 6,2.06
mammal,under 6,2.19
mammal,under 6,1.29
mammal,6+,1.94
mammal,6+,4.26
mammal,6+,2.65
mammal,6+,2.13
mammal,6+,2.76
mammal,6+,2.8
mammal,6+,4.11
mammal,6+,3.08
mammal,6+,3.75
mammal,6+,2.5
mammal,6+,3.21
mammal,6+,2.68
mammal,6+,3.09
mammal,6+,2.1
mammal,6+,1.69
mammal,6+,5
mammal,6+,3.6
mammal,6+,1.75
mammal,6+,2.39
mammal,6+,1.81
mammal,6+,5.2
mammal,6+,4.31
mammal,6+,2.73
mammal,6+,3.54
mammal,6+,2.59
mammal,6+,2.52
mammal,6+,2.21
mammal,6+,2.41
mammal,6+,4.65
mammal,6+,2.95
reptile,under 6,2.62
reptile,under 6,2.74
reptile,under 6,3.73
reptile,under 6,1.98
reptile,under 6,1.51
reptile,under 6,4.18
reptile,under 6,2.06
reptile,under 6,1.78
reptile,under 6,1.26
reptile,under 6,1.22
reptile,under 6,1.93
reptile,under 6,3.12
reptile,under 6,3.61
reptile,under 6,3.21
reptile,under 6,2.14
reptile,under 6,2.56
reptile,under 6,1.8
reptile,under 6,1.78
reptile,under 6,3.38
reptile,under 6,1.48
reptile,6+,4.21
reptile,6+,2.16
reptile,6+,2.46
reptile,6+,1.51
reptile,6+,1.68
reptile,6+,0.93
reptile,6+,2.07
reptile,6+,2.67
reptile,6+,2.57
reptile,6+,1.47
reptile,6+,1.46
reptile,6+,1.75
reptile,6+,3.75
reptile,6+,1.11
reptile,6+,2.07
reptile,6+,4.15
reptile,6+,2.15
reptile,6+,0.89
reptile,6+,1.59
reptile,6+,2.74
bird,under 6,2.12
bird,under 6,1.94
bird,under 6,2.16
bird,under 6,2.59
bird,under 6,4.1
bird,under 6,2.41
bird,under 6,3.58
bird,under 6,3.13
bird,under 6,2.39
bird,under 6,0.97
bird,under 6,1.98
bird,under 6,2.01
bird,under 6,2.55
bird,under 6,3.8
bird,under 6,4.79
bird,under 6,4.05
bird,under 6,2.37
bird,under 6,0.74
bird,under 6,2.11
bird,under 6,2.59
bird,under 6,3.35
bird,under 6,3.46
bird,under 6,3.18
bird,under 6,1.1
bird,under 6,3.35
bird,6+,1.8
bird,6+,2.42
bird,6+,2.32
bird,6+,2.68
bird,6+,2.27
bird,6+,0.58
bird,6+,2.99
bird,6+,2.64
bird,6+,1.98
bird,6+,2.37
bird,6+,2.38
bird,6+,2.47
bird,6+,3.89
bird,6+,2.03
bird,6+,2.42
bird,6+,3.42
bird,6+,3.3
bird,6+,3.4
bird,6+,1.67
bird,6+,4.25
bird,6+,2.32
bird,6+,4.12
bird,6+,0.9
bird,6+,2.27
bird,6+,3.5
