subjectID,WMC,task,score
1,high,lowStress,70
1,high,highStress,52
2,high,lowStress,79
2,high,highStress,70
3,high,lowStress,67
3,high,highStress,62
4,high,lowStress,78
4,high,highStress,66
5,high,lowStress,80
5,high,highStress,70
6,high,lowStress,64
6,high,highStress,75
7,high,lowStress,66
7,high,highStress,67
8,high,lowStress,74
8,high,highStress,67
9,high,lowStress,71
9,high,highStress,77
10,high,lowStress,71
10,high,highStress,68
11,high,lowStress,61
11,high,highStress,62
12,high,lowStress,76
12,high,highStress,70
13,high,lowStress,70
13,high,highStress,54
14,high,lowStress,61
14,high,highStress,54
15,high,lowStress,68
15,high,highStress,68
16,high,lowStress,80
16,high,highStress,70
17,high,lowStress,73
17,high,highStress,57
18,high,lowStress,71
18,high,highStress,58
19,high,lowStress,79
19,high,highStress,75
20,high,lowStress,64
20,high,highStress,66
21,high,lowStress,61
21,high,highStress,66
22,high,lowStress,69
22,high,highStress,81
23,high,lowStress,69
23,high,highStress,67
24,high,lowStress,65
24,high,highStress,71
25,high,lowStress,81
25,high,highStress,56
26,low,lowStress,49
26,low,highStress,69
27,low,lowStress,61
27,low,highStress,65
28,low,lowStress,57
28,low,highStress,59
29,low,lowStress,50
29,low,highStress,58
30,low,lowStress,61
30,low,highStress,68
31,low,lowStress,60
31,low,highStress,58
32,low,lowStress,47
32,low,highStress,60
33,low,lowStress,81
33,low,highStress,83
34,low,lowStress,40
34,low,highStress,47
35,low,lowStress,58
35,low,highStress,66
36,low,lowStress,47
36,low,highStress,55
37,low,lowStress,43
37,low,highStress,66
38,low,lowStress,47
38,low,highStress,66
39,low,lowStress,70
39,low,highStress,70
40,low,lowStress,70
40,low,highStress,75
41,low,lowStress,54
41,low,highStress,70
42,low,lowStress,60
42,low,highStress,58
43,low,lowStress,47
43,low,highStress,54
44,low,lowStress,49
44,low,highStress,52
45,low,lowStress,62
45,low,highStress,80
46,low,lowStress,57
46,low,highStress,64
47,low,lowStress,45
47,low,highStress,44
48,low,lowStress,54
48,low,highStress,49
49,low,lowStress,50
49,low,highStress,54
50,low,lowStress,56
50,low,highStress,65
51,low,lowStress,50
51,low,highStress,63
52,low,lowStress,51
52,low,highStress,48
53,low,lowStress,74
53,low,highStress,71
54,low,lowStress,52
54,low,highStress,61
55,low,lowStress,61
55,low,highStress,63
56,low,lowStress,66
56,low,highStress,56
57,low,lowStress,71
57,low,highStress,61
58,low,lowStress,46
58,low,highStress,40
59,low,lowStress,41
59,low,highStress,61
60,low,lowStress,46
60,low,highStress,57
61,low,lowStress,50
61,low,highStress,59
62,low,lowStress,63
62,low,highStress,73
63,low,lowStress,66
63,low,highStress,64
64,low,lowStress,35
64,low,highStress,55
65,low,lowStress,50
65,low,highStress,60
66,low,lowStress,69
66,low,highStress,67
67,low,lowStress,65
67,low,highStress,67
