subjectID,WMC,lowStress,highStress
1,high,70,52
2,high,79,70
3,high,67,62
4,high,78,66
5,high,80,70
6,high,64,75
7,high,66,67
8,high,74,67
9,high,71,77
10,high,71,68
11,high,61,62
12,high,76,70
13,high,70,54
14,high,61,54
15,high,68,68
16,high,80,70
17,high,73,57
18,high,71,58
19,high,79,75
20,high,64,66
21,high,61,66
22,high,69,81
23,high,69,67
24,high,65,71
25,high,81,56
26,low,49,69
27,low,61,65
28,low,57,59
29,low,50,58
30,low,61,68
31,low,60,58
32,low,47,60
33,low,81,83
34,low,40,47
35,low,58,66
36,low,47,55
37,low,43,66
38,low,47,66
39,low,70,70
40,low,70,75
41,low,54,70
42,low,60,58
43,low,47,54
44,low,49,52
45,low,62,80
46,low,57,64
47,low,45,44
48,low,54,49
49,low,50,54
50,low,56,65
51,low,50,63
52,low,51,48
53,low,74,71
54,low,52,61
55,low,61,63
56,low,66,56
57,low,71,61
58,low,46,40
59,low,41,61
60,low,46,57
61,low,50,59
62,low,63,73
63,low,66,64
64,low,35,55
65,low,50,60
66,low,69,67
67,low,65,67
