CHD,HRT,income
340.2308429,0,43981.07154
296.6346365,0,40063.01409
550.8804815,1,60267.85056
511.888617,1,57510.61303
94.14906879,0,34908.33463
594.5426005,0,49048.52549
435.3777913,0,41040.52177
484.5456303,1,29292.48929
533.5318369,1,51501.20131
397.3828982,1,49207.88291
770.0021879,0,49026.30732
804.8378566,0,52161.52542
416.3753348,1,58824.65164
517.462946,1,52055.97504
417.2317238,0,43835.64157
445.2251895,0,42652.00748
509.5739936,0,48681.97207
354.8116524,1,53100.16987
424.5909228,0,39603.19647
656.4938494,0,48156.91131
530.3177256,1,59672.6726
472.8793198,0,48917.19909
570.0151339,0,43015.79332
512.2451072,1,47240.54832
396.6153727,1,61146.48545
527.8600934,1,55500.43961
739.0223035,1,62366.758
655.4374207,0,51390.97857
583.02267,0,54102.75096
516.2763895,0,44415.43088
390.8435457,1,56053.70669
479.3798025,0,44936.66458
262.498556,0,35794.34495
416.9974898,1,51279.92966
738.1454902,1,69458.51218
416.4021228,1,58009.1434
593.2171641,1,61652.5339
528.7187763,1,53588.55723
444.6354792,0,43914.42822
661.9947967,0,47977.59145
370.4404565,0,47267.51893
513.7430482,0,45313.0022
511.5236716,1,57041.67284
354.1804254,0,38026.36498
583.0457366,1,58663.66132
434.3751896,1,58641.52486
248.7926724,0,38013.77641
464.5011122,1,56394.91998
868.1983802,1,74302.26652
449.8549293,0,44427.84518
567.633864,1,58449.04241
402.7951517,0,42177.98154
608.120415,1,61107.11418
379.8145177,1,52498.2472
730.9825858,1,66519.15392
412.5734532,0,35410.29271
414.2249291,0,49487.02114
452.762807,0,44730.74824
551.906675,0,48027.35131
492.8152239,0,43704.21257
514.8090435,1,41661.56419
446.573462,1,55787.22375
502.8555901,0,39124.19286
702.0578941,1,64840.30932
365.1310283,0,38137.93415
362.5152459,1,51010.79151
444.3844096,0,55329.89287
554.4522297,1,55867.35339
462.7126602,0,46982.53336
635.8604662,1,50795.01995
599.6402112,1,59612.64152
317.1589208,0,35435.34083
319.271804,0,42182.60288
423.800064,1,53204.02314
489.8106415,0,45552.18022
541.9069347,1,63700.03994
568.7483984,1,56732.53863
473.78287,0,50721.66752
338.6682774,0,34922.42682
379.5590553,1,50261.00225
658.8627717,0,46835.84132
523.0275218,0,48976.53486
404.9074413,0,38184.40773
330.6795629,1,54986.58044
412.0835459,1,39610.4356
375.015443,0,47737.78019
398.9904255,1,53814.25829
513.4825382,0,42164.84211
463.0290759,1,55829.91406
193.5117318,0,36834.89598
396.0129431,0,21902.25321
258.7561065,1,54649.67991
641.3351357,0,58405.39827
573.1403825,0,47141.54576
437.3158388,1,55041.26255
428.8370526,0,38440.83475
481.1981782,1,48728.51393
409.9104777,0,30584.81624
616.5280279,1,61811.80891
611.5027082,1,68599.10862
699.0004318,0,60740.1226
527.327539,1,49726.53034
403.0100624,0,49666.69658
208.3144943,0,34839.32377
545.0662884,1,57903.85344
451.5303445,0,47892.65819
335.7717962,0,43432.57075
367.1904887,0,35879.74207
338.0240977,0,47002.37503
431.2165216,0,41509.38865
397.8041092,0,46029.6948
423.9564286,1,37824.00012
861.2078624,1,66875.89483
406.8018229,0,49839.97473
663.2609248,1,60749.45077
322.3450058,0,23983.0033
447.6607946,0,45468.0217
387.0871334,0,43245.17708
535.2381527,0,37770.73821
404.1151336,1,65466.09154
294.1523289,0,35847.1808
338.1546817,1,53183.9026
674.1749725,1,58464.36286
448.7486756,1,51781.90188
360.0073323,0,41247.44523
862.5210281,1,59411.65807
462.0550814,1,51705.88082
349.2752782,0,39365.02094
391.1816203,0,36119.50952
501.8292814,1,70867.17434
481.1799497,0,43214.96855
304.8265145,0,31444.28346
550.1784485,1,55332.59363
382.785962,1,53102.30256
262.3181822,0,36461.65664
236.3628923,0,30570.43586
411.570791,0,48836.97483
693.8446258,1,61393.96292
721.5269597,0,56361.24035
435.0170623,0,45070.62576
380.6875208,0,41658.11768
444.2027926,1,52710.66757
472.6589825,1,51573.53347
522.661598,1,56297.11747
489.4236437,0,46042.0205
465.2675112,1,58993.54053
332.2292084,0,41691.88473
586.6532964,0,46694.553
469.2187163,1,57408.14524
629.3017304,0,59899.71609
250.4524765,1,30614.95299
364.9341015,1,51071.90407
569.9840921,1,56087.79012
372.228056,0,35491.75687
638.0408956,1,54806.256
428.9285314,0,41718.2573
518.8707254,1,60202.53012
531.6776945,1,55384.82032
408.3460646,1,57690.52295
428.4825276,0,51207.19329
587.3921685,1,58636.48434
554.7393627,1,63805.14528
640.0287069,1,69662.48015
485.6383236,0,49716.04945
210.0436291,0,27509.4891
251.2837346,1,50315.26005
505.4396179,1,52055.61208
560.6294161,0,48446.54653
377.9572385,1,55682.88621
699.3080683,1,60106.77965
486.7172394,0,44820.1757
604.7544968,0,47059.04673
394.0671738,1,53978.42209
461.6557547,0,44497.76259
449.1253425,1,50912.67383
380.6799833,0,30382.92401
330.4240711,0,38801.00279
366.2146852,0,36722.44524
236.7717155,0,41463.76303
352.9074029,0,43066.95472
500.7339026,1,53823.05143
477.579151,1,59821.13003
422.9046985,0,42726.16471
353.5235044,0,40031.61018
456.5241277,0,39583.11141
575.3899582,0,45854.11274
393.8469519,0,47609.70932
467.6580975,1,54836.17534
611.8436416,0,46786.75158
72.2587477,0,29215.10731
458.8727933,0,49085.65724
775.1891095,1,61871.86811
788.5191338,1,61916.01269
436.7632105,0,42110.36782
258.8614506,0,34522.23456
712.3517911,1,74580.60492
418.4803662,0,48375.78058
635.5366032,0,49025.4875
411.4091533,1,54205.74189
375.8872139,0,33859.60543
