score courses activity
5 1 2
13 1 2
7 1 2
20 1 2
11 1 2
16 1 2
18 1 2
4 1 2
7 1 2
17 1 2
15 1 2
9 1 2
14 1 2
6 1 2
5 1 2
11 1 2
11 1 2
14 1 2
3 1 2
2 1 2
18 1 2
15 1 2
12 1 2
18 1 2
16 1 2
12 1 2
11 1 2
12 1 2
25 1 2
8 1 2
9 1 2
13 1 2
10 1 2
3 1 2
15 1 2
17 1 2
15 1 2
6 1 2
11 1 2
15 1 2
14 1 2
10 1 2
14 1 2
7 1 2
12 1 2
6 1 2
3 1 2
15 1 2
8 1 1
9 1 1
5 1 1
5 1 1
4 1 1
12 1 1
12 1 1
10 1 1
4 1 1
18 1 1
8 1 1
1 1 1
14 1 1
0 1 1
8 1 1
6 1 1
5 1 1
0 1 1
8 1 1
7 1 1
9 1 1
4 1 1
12 1 1
10 1 1
12 1 1
11 1 1
4 1 1
8 1 1
12 1 1
15 1 1
13 1 1
10 1 1
3 1 1
9 1 1
13 1 1
3 1 1
13 1 1
3 1 1
7 1 1
7 1 1
14 1 1
11 1 1
14 1 1
13 1 1
13 1 1
11 1 1
11 1 1
15 1 1
7 1 1
17 1 1
10 1 1
15 1 1
12 1 1
6 1 1
10 1 1
8 1 1
7 1 1
12 1 1
6 1 1
8 1 1
11 1 1
7 1 1
13 1 1
8 1 1
3 1 1
9 1 1
4 1 1
12 1 1
6 1 1
1 1 1
11 1 1
15 1 1
4 1 1
13 1 1
8 1 1
2 1 1
10 1 1
12 1 1
12 1 1
13 1 1
16 1 1
12 1 1
16 2 2
12 2 2
12 2 2
20 2 2
9 2 2
17 2 2
17 2 2
12 2 2
9 2 2
19 2 2
11 2 2
13 2 2
19 2 2
14 2 2
8 2 2
22 2 2
8 2 2
15 2 2
20 2 2
17 2 2
16 2 2
10 2 2
11 2 2
19 2 2
13 2 2
19 2 2
16 2 2
21 2 2
10 2 2
18 2 2
8 2 2
9 2 2
11 2 2
19 2 2
11 2 2
13 2 2
17 2 2
23 2 2
11 2 2
19 2 2
12 2 2
29 2 2
24 2 2
15 2 2
19 2 2
13 2 2
11 2 2
11 2 2
17 2 2
12 2 2
17 2 2
15 2 2
19 2 2
12 2 2
23 2 2
10 2 2
21 2 2
19 2 2
14 2 2
14 2 2
17 2 2
13 2 2
18 2 2
11 2 2
18 2 2
18 2 2
13 2 2
9 2 2
13 2 2
16 2 2
11 2 2
16 2 2
4 2 2
23 2 2
10 2 2
20 2 2
5 2 2
17 2 2
8 2 2
16 2 2
19 2 2
18 2 2
15 2 2
17 2 2
16 2 2
10 2 2
12 2 2
16 2 2
16 2 2
16 2 2
15 2 2
13 2 2
18 2 2
21 2 2
10 2 2
16 2 2
11 2 2
15 2 2
15 2 2
13 2 2
7 2 2
17 2 2
20 2 2
15 2 2
16 2 2
10 2 2
22 2 2
17 2 2
16 2 2
14 2 2
17 2 2
16 2 2
17 2 2
13 2 2
16 2 2
22 2 2
14 2 2
15 2 2
18 2 2
20 2 2
17 2 2
17 2 2
18 2 2
20 2 2
15 2 2
22 2 2
26 2 2
14 2 2
27 2 2
13 2 2
14 2 2
16 2 2
13 2 2
14 2 2
5 2 2
13 2 2
20 2 2
19 2 2
18 2 2
23 2 2
6 2 2
11 2 2
18 2 2
15 2 2
12 2 2
15 2 2
24 2 2
19 2 2
12 2 2
18 2 2
14 2 2
11 2 2
11 2 2
11 2 2
17 2 2
10 2 2
26 2 2
15 2 2
9 2 2
11 2 2
10 2 2
20 2 2
12 2 2
10 2 2
21 2 2
15 2 2
28 2 2
18 2 2
19 2 2
8 2 2
20 2 2
23 2 2
20 2 2
16 2 2
14 2 2
17 2 2
18 2 2
17 2 2
5 2 2
13 2 2
7 2 2
11 2 2
19 2 2
8 2 2
2 2 2
14 2 2
15 2 2
18 2 2
10 2 2
21 2 2
24 2 2
7 2 2
19 2 2
24 2 2
13 2 2
21 2 2
16 2 2
14 2 2
17 2 2
14 2 2
11 2 2
10 2 2
21 2 2
13 2 2
29 2 2
15 2 2
15 2 2
20 2 2
23 2 2
16 2 2
17 2 2
14 2 2
22 2 2
12 2 2
20 2 2
28 2 2
15 2 2
12 2 2
26 2 2
18 2 2
22 2 2
19 2 2
15 2 2
12 2 1
15 2 1
14 2 1
15 2 1
20 2 1
21 2 1
21 2 1
13 2 1
7 2 1
11 2 1
13 2 1
16 2 1
10 2 1
25 2 1
13 2 1
13 2 1
6 2 1
19 2 1
8 2 1
7 2 1
3 2 1
22 2 1
18 2 1
19 2 1
14 2 1
22 2 1
11 2 1
20 2 1
11 2 1
14 2 1
24 2 1
16 2 1
15 2 1
24 2 1
18 2 1
9 2 1
22 2 1
11 2 1
12 2 1
16 2 1
14 2 1
16 2 1
14 2 1
21 2 1
13 2 1
17 2 1
9 2 1
15 2 1
17 2 1
22 2 1
20 2 1
16 2 1
15 2 1
11 2 1
14 2 1
16 2 1
11 2 1
17 2 1
11 2 1
16 2 1
5 2 1
9 2 1
7 2 1
7 2 1
25 2 1
23 2 1
9 2 1
10 2 1
18 2 1
11 2 1
16 2 1
21 2 1
20 2 1
15 2 1
18 2 1
12 2 1
21 2 1
21 2 1
15 2 1
8 2 1
8 2 1
8 2 1
10 2 1
16 2 1
16 2 1
18 2 1
15 2 1
19 2 1
14 2 1
16 2 1
8 2 1
4 2 1
11 2 1
17 2 1
13 2 1
22 2 1
12 2 1
14 2 1
12 2 1
15 2 1
17 2 1
8 2 1
14 2 1
13 2 1
11 2 1
14 2 1
16 2 1
9 2 1
17 2 1
17 2 1
13 2 1
21 2 1
12 2 1
15 2 1
6 2 1
17 2 1
12 2 1
18 2 1
14 2 1
14 2 1
8 2 1
13 2 1
11 2 1
17 2 1
11 2 1
10 2 1
8 2 1
16 2 1
10 2 1
11 2 1
4 2 1
14 2 1
10 2 1
13 2 1
22 2 1
9 2 1
7 2 1
11 2 1
10 2 1
19 2 1
16 2 1
8 2 1
14 2 1
10 2 1
18 2 1
9 2 1
25 2 1
13 2 1
22 2 1
16 2 1
13 2 1
19 2 1
14 2 1
18 2 1
12 2 1
12 2 1
10 2 1
0 2 1
14 2 1
15 2 1
13 2 1
11 2 1
9 2 1
12 2 1
15 2 1
14 2 1
8 2 1
20 2 1
16 2 1
10 2 1
22 2 1
23 2 1
20 2 1
11 2 1
12 2 1
20 2 1
0 2 1
14 2 1
15 2 1
13 2 1
9 2 1
15 2 1
19 2 1
9 2 1
13 2 1
17 2 1
17 2 1
23 2 1
14 2 1
18 2 1
13 2 1
14 2 1
3 2 1
15 2 1
13 2 1
14 2 1
11 2 1
21 2 1
14 2 1
18 2 1
22 2 1
20 2 1
12 2 1
20 2 1
19 2 1
14 2 1
14 2 1
15 2 1
12 2 1
17 2 1
11 2 1
12 2 1
22 2 1
10 2 1
9 2 1
15 2 1
21 2 1
19 2 1
11 2 1
15 2 1
19 2 1
13 2 1
12 2 1
19 2 1
11 2 1
15 2 1
16 2 1
22 2 1
7 2 1
22 2 1
11 2 1
14 2 1
11 2 1
10 2 1
20 2 1
17 2 1
16 2 1
11 2 1
17 2 1
4 2 1
4 2 1
25 2 1
9 2 1
18 2 1
15 2 1
11 2 1
14 2 1
9 2 1
22 2 1
13 2 1
11 2 1
17 2 1
6 2 1
22 2 1
16 2 1
16 2 1
14 2 1
11 2 1
14 2 1
11 2 1
7 2 1
13 2 1
7 2 1
4 2 1
8 2 1
16 2 1
18 2 1
18 2 1
7 2 1
14 2 1
5 2 1
12 2 1
22 2 1
21 2 1
10 2 1
17 2 1
15 2 1
20 2 1
20 2 1
11 2 1
14 2 1
10 2 1
18 2 1
17 2 1
14 2 1
18 2 1
16 2 1
17 2 1
13 2 1
6 2 1
12 2 1
21 2 1
20 2 1
28 2 1
22 2 1
14 2 1
10 2 1
12 2 1
12 2 1
9 2 1
16 2 1
9 2 1
14 2 1
18 2 1
15 2 1
26 2 1
6 2 1
16 2 1
13 2 1
12 2 1
20 2 1
2 2 1
9 2 1
20 2 1
16 2 1
14 2 1
20 2 1
8 2 1
14 2 1
11 2 1
12 2 1
4 2 1
27 2 1
17 2 1
19 2 1
17 2 1
9 2 1
1 2 1
15 2 1
11 2 1
15 2 1
18 2 1
16 2 1
11 2 1
6 2 1
15 2 1
10 2 1
17 2 1
12 2 1
13 2 1
20 2 1
21 2 1
11 2 1
15 2 1
11 2 1
10 2 1
14 2 1
13 2 1
12 2 1
17 2 1
7 2 1
17 2 1
16 2 1
20 2 1
17 2 1
15 2 1
19 2 1
5 2 1
17 2 1
22 2 1
12 2 1
2 2 1
14 2 1
1 2 1
9 2 1
9 2 1
13 2 1
14 2 1
18 2 1
10 2 1
9 2 1
5 2 1
13 2 1
7 2 1
10 2 1
13 2 1
13 2 1
9 2 1
15 2 1
8 2 1
17 2 1
19 2 1
17 2 1
11 2 1
10 2 1
10 2 1
8 2 1
32 3 2
20 3 2
18 3 2
22 3 2
27 3 2
24 3 2
30 3 2
25 3 2
24 3 2
36 3 2
24 3 2
24 3 2
26 3 2
23 3 2
13 3 2
17 3 2
27 3 2
17 3 2
26 3 2
26 3 2
26 3 2
31 3 2
32 3 2
31 3 2
36 3 2
24 3 2
33 3 2
19 3 2
22 3 2
28 3 2
31 3 2
21 3 2
32 3 2
22 3 2
20 3 2
27 3 2
34 3 2
27 3 2
21 3 2
32 3 2
25 3 2
28 3 2
22 3 2
25 3 2
17 3 2
23 3 2
25 3 2
30 3 2
34 3 2
18 3 2
18 3 2
23 3 2
32 3 2
24 3 2
30 3 2
35 3 2
24 3 2
33 3 2
23 3 2
18 3 2
31 3 2
26 3 2
18 3 2
20 3 2
24 3 2
16 3 2
32 3 2
20 3 1
22 3 1
32 3 1
28 3 1
16 3 1
21 3 1
27 3 1
34 3 1
28 3 1
22 3 1
23 3 1
30 3 1
32 3 1
21 3 1
27 3 1
33 3 1
32 3 1
21 3 1
29 3 1
31 3 1
22 3 1
25 3 1
24 3 1
29 3 1
29 3 1
24 3 1
27 3 1
18 3 1
17 3 1
26 3 1
28 3 1
25 3 1
29 3 1
18 3 1
27 3 1
