length,lengthCat,genre,success
110.2589948,short,rap,1
250.7318275,medium,rock,0
133.4457381,short,rock,0
314.4917453,medium,pop,0
183.0483011,short,country,0
156.0487082,short,punk,0
211.2200257,short,rock,0
245.0505052,short,punk,0
200.8658015,short,pop,0
267.3604264,medium,rap,1
349.4851979,medium,rap,1
177.7690089,short,rock,0
200.8474913,short,pop,0
199.16408,short,rap,1
108.9161817,short,rock,0
152.0012905,short,pop,1
245.9929344,short,pop,0
142.1202005,short,punk,0
268.5153414,medium,rap,0
196.8303084,short,rock,0
257.4006062,medium,rock,0
186.6483208,short,pop,0
367.0289737,long,country,1
364.9485721,long,rock,0
181.0852247,short,rock,1
195.1541858,short,pop,1
130.0818957,short,pop,0
195.1342153,short,rock,0
128.6575887,short,punk,0
236.8062978,short,country,0
152.6255495,short,rap,1
320.7167785,medium,country,0
239.7564874,short,punk,0
305.1763945,medium,pop,0
244.5831798,short,pop,0
181.1021422,short,punk,0
207.0033202,short,country,1
242.0153495,short,pop,0
104.3446314,short,rap,1
260.650496,medium,pop,0
238.0603675,short,punk,1
210.17586,short,rock,0
358.2221668,long,punk,0
124.6953132,short,rap,1
253.1592963,medium,country,1
347.1759732,medium,rock,0
174.5273049,short,punk,0
102.5474401,short,country,0
145.6541463,short,punk,0
386.8056166,long,country,0
130.8186771,short,punk,0
383.6016972,long,rock,0
107.7634983,short,punk,1
319.7840518,medium,rap,0
212.9081078,short,rap,1
270.9054878,medium,pop,0
139.7750929,short,punk,0
134.0858539,short,pop,1
297.1718286,medium,rap,0
287.3716047,medium,pop,0
276.9063594,medium,rock,0
165.7682615,short,rap,1
363.2504753,long,rock,0
299.9563796,medium,country,0
275.0743235,medium,punk,0
266.4403368,medium,pop,1
349.3409737,medium,rock,0
169.8214971,short,country,1
189.1935827,short,rock,1
267.095368,medium,country,0
217.6040657,short,country,1
371.1564993,long,rap,0
124.7298411,short,rap,1
164.6487078,short,punk,0
163.1946184,short,pop,0
238.5189745,short,rap,1
386.5865414,long,rap,0
296.794872,medium,country,0
347.1598957,medium,punk,0
253.6000404,medium,country,0
118.9658029,short,rap,1
303.9845748,medium,country,0
312.1160729,medium,punk,0
323.6807057,medium,rap,1
241.4637979,short,punk,0
268.2677626,medium,rap,0
384.3161963,long,country,0
241.0561476,short,punk,0
217.966547,short,rap,1
320.4824083,medium,rap,1
297.0590485,medium,rap,0
313.8990373,medium,rock,0
322.2037516,medium,rap,1
179.9814821,short,pop,0
108.7819549,short,pop,1
169.8202123,short,punk,0
148.2432261,short,pop,0
213.8964794,short,punk,0
255.9444139,medium,rap,1
175.4859934,short,pop,0
278.5840128,medium,country,0
316.6843456,medium,country,1
309.9346464,medium,rap,1
382.9191637,long,rock,0
183.7730621,short,pop,0
202.9012118,short,pop,1
380.906195,long,rap,0
148.352914,short,rock,1
320.7555956,medium,pop,0
193.4792509,short,pop,0
158.4049561,short,rap,1
145.056176,short,punk,0
110.4161757,short,punk,0
176.7947629,short,punk,0
361.7001484,long,rock,0
390.7524374,long,pop,0
118.9259576,short,pop,1
135.0120044,short,pop,0
146.6609458,short,punk,0
182.8275173,short,rock,1
127.5658056,short,pop,1
255.9541329,medium,country,0
393.1027809,long,rap,1
248.5673794,short,pop,0
170.8243133,short,country,0
248.4035097,short,rap,1
218.4078782,short,punk,0
363.5118332,long,rock,0
328.5907923,medium,pop,0
199.6373177,short,punk,0
381.30506,long,rock,0
300.5943252,medium,rock,0
274.5447303,medium,rap,1
397.1709331,long,rock,0
126.943385,short,punk,0
393.7997605,long,rap,1
348.8547816,medium,pop,0
240.606402,short,rap,1
271.4877383,medium,rap,0
190.2481662,short,country,0
365.1758675,long,rock,0
271.1064572,medium,country,0
379.6244311,long,rock,0
203.7901504,short,pop,0
243.3762225,short,pop,1
186.7135656,short,rap,1
238.2709163,short,pop,0
115.3717471,short,rock,0
320.6546159,medium,punk,0
344.9100408,medium,punk,0
392.9652416,long,rock,0
181.451534,short,rap,1
205.5258511,short,country,1
207.3905625,short,punk,0
111.2685991,short,pop,0
251.7702475,medium,punk,0
136.5543227,short,pop,1
295.826362,medium,rap,0
306.3675322,medium,country,0
253.3221902,medium,pop,0
293.6629248,medium,country,0
115.3044704,short,punk,1
163.2087985,short,punk,0
262.6587819,medium,pop,1
221.5338251,short,pop,0
255.4567715,medium,country,0
221.8480787,short,pop,0
386.161328,long,rock,0
184.0968571,short,rap,0
128.3688678,short,pop,1
363.0490002,long,rap,0
331.0133436,medium,pop,0
256.6820615,medium,country,0
316.2615975,medium,rock,0
160.9963965,short,punk,0
206.3682879,short,country,1
259.4712243,medium,country,0
156.5109336,short,rap,0
352.5633685,long,rap,0
118.6942809,short,rock,1
288.4286204,medium,rap,0
147.0334873,short,rock,1
282.4969399,medium,country,0
368.9918144,long,punk,0
377.5935977,long,pop,0
341.8721688,medium,country,1
207.7812569,short,pop,0
201.6453152,short,pop,0
336.5009949,medium,rock,0
197.3311782,short,country,0
269.4724661,medium,rap,1
145.1395783,short,country,1
322.646609,medium,rap,1
207.3279503,short,punk,0
374.9499795,long,punk,0
341.5470431,medium,punk,0
343.3744916,medium,rock,0
377.9157522,long,rock,0
192.2250888,short,pop,0
387.5176138,long,rock,0
146.5196482,short,punk,0
197.7674761,short,pop,0
191.1840274,short,pop,1
376.4192677,long,rock,0
102.5357603,short,country,1
342.0818997,medium,rap,1
350.7107529,long,country,0
373.4155261,long,punk,0
113.8422213,short,pop,0
197.4252025,short,rock,0
350.9978135,long,rock,0
395.4754932,long,rock,0
367.6591741,long,rock,0
204.8731165,short,pop,0
266.5653638,medium,punk,0
100.4819657,short,rock,0
263.9266149,medium,rock,0
278.1992422,medium,pop,0
385.6545974,long,rap,0
138.4858433,short,punk,0
376.3449763,long,rock,0
289.7928369,medium,punk,0
246.8794793,short,pop,0
243.5521176,short,rock,0
190.3335785,short,rap,1
326.8513985,medium,pop,0
171.1012626,short,pop,1
240.9987915,short,rock,0
139.2710825,short,pop,1
143.1484072,short,rock,0
277.7473905,medium,country,0
162.7794645,short,country,1
207.7614696,short,punk,1
142.1617022,short,pop,1
245.2460414,short,punk,0
266.4233024,medium,country,0
358.5979286,long,pop,1
140.2811491,short,pop,0
