height,treatment,mildew
3.55,treatment,0
4.15,treatment,0
3.75,treatment,1
5.67,treatment,0
3.71,treatment,1
2.96,treatment,1
7.02,treatment,1
6.01,treatment,0
5.82,treatment,0
4.34,treatment,0
4.99,treatment,0
5.62,treatment,0
3.72,treatment,1
4.88,treatment,1
5.18,treatment,0
6.69,treatment,0
5.64,treatment,0
6.28,treatment,1
5.14,treatment,0
3.89,treatment,1
4.66,treatment,0
3.34,treatment,1
5.93,treatment,0
6.42,treatment,0
4.94,treatment,0
4.02,treatment,1
6.09,treatment,0
5.14,treatment,1
4.61,treatment,0
6.12,treatment,1
4.24,treatment,0
6.15,treatment,0
4.16,treatment,1
5.39,treatment,0
5.89,treatment,0
3.66,treatment,1
5.4,treatment,0
4.89,treatment,1
5.68,treatment,1
4.21,treatment,0
4.91,treatment,1
6.38,treatment,0
5.17,treatment,1
5.82,treatment,0
4.78,treatment,1
3.97,treatment,1
4.99,treatment,0
3.78,treatment,0
2.4,treatment,0
6.17,treatment,0
3.91,treatment,1
3.17,treatment,1
6,treatment,0
4.99,treatment,1
4.4,treatment,1
4.82,treatment,1
4.57,treatment,0
6,treatment,0
5.73,treatment,0
3.27,treatment,1
5.35,treatment,0
5.73,treatment,0
5.67,treatment,1
2.58,treatment,1
4.76,treatment,1
6.98,treatment,1
5.8,treatment,1
3.29,treatment,1
3.34,treatment,0
5.49,treatment,0
4.83,treatment,0
5.96,treatment,0
5.29,treatment,0
5.08,treatment,0
5.18,treatment,1
5.17,treatment,1
3.73,treatment,1
7.35,treatment,1
3.59,treatment,0
4.98,treatment,0
4.46,treatment,1
6.8,treatment,0
6.01,treatment,0
4.44,treatment,1
5.21,treatment,1
6.17,treatment,1
7.24,treatment,1
5.3,treatment,1
3.96,treatment,1
4.02,treatment,0
7.01,treatment,0
2.93,treatment,1
8.06,treatment,0
4.74,treatment,0
4.55,treatment,1
5.16,treatment,1
5.93,treatment,0
5.3,treatment,0
3.04,treatment,0
5.35,treatment,1
5.45,treatment,1
5.66,treatment,0
3.97,treatment,1
2.63,treatment,0
4.68,treatment,0
4.06,treatment,1
4.23,treatment,0
4.05,treatment,0
4.6,treatment,1
4.69,treatment,0
5.8,treatment,0
5.99,treatment,1
4.21,treatment,0
4.69,treatment,0
5.36,treatment,0
6.4,treatment,0
4.94,treatment,0
3.3,treatment,1
5.23,treatment,1
4.88,treatment,0
6.77,treatment,0
5.34,treatment,0
4.38,treatment,1
4.56,treatment,0
4.49,treatment,1
5.19,treatment,0
5.18,treatment,0
5.92,treatment,0
5.32,treatment,0
4.63,treatment,0
4.06,treatment,0
5.63,treatment,1
4.94,treatment,0
5.18,treatment,0
6.1,treatment,1
6.75,treatment,0
4.05,treatment,0
6.64,treatment,0
4.13,treatment,1
5.27,treatment,1
5.22,treatment,0
4.72,treatment,0
6.39,treatment,1
4.34,treatment,0
5.66,treatment,0
4.99,treatment,1
4.07,treatment,0
6.21,treatment,0
2.91,treatment,0
4.47,treatment,0
3.46,treatment,1
5.19,treatment,0
5.26,treatment,1
