id,imagine,RT
1,4.39,893
2,3.81,558
3,1.14,807
4,2.18,722
5,5.28,851
6,4.67,766
7,1.07,873
8,6.26,535
9,1.35,1037
10,5.22,623
11,1.46,816
12,3.46,801
13,4.32,768
14,5.68,719
15,2.25,707
16,2.49,701
17,6.46,573
18,5.25,609
19,2.61,903
20,1.99,955
21,2.1,721
22,6.28,748
23,5.94,768
24,3.95,553
25,6.81,762
26,6.74,572
27,5.95,781
28,6.79,822
29,4.18,825
30,5.02,683
31,1.37,971
32,1.05,816
33,1.26,860
34,1.45,561
35,4.24,873
36,5.1,592
37,7,630
38,1.99,810
39,6.1,972
40,3.63,1026
41,4.78,771
42,3.6,708
43,5.44,884
44,3.33,819
45,5.65,627
46,3.51,732
