gender,party
female,dem
female,dem
female,dem
male,other
male,rep
female,other
male,other
male,other
male,dem
female,dem
male,rep
male,other
female,other
male,rep
female,rep
female,rep
male,dem
male,other
male,rep
male,dem
male,rep
male,dem
female,dem
male,rep
female,rep
female,rep
female,rep
female,other
male,other
female,other
female,dem
female,dem
female,dem
male,rep
female,dem
female,dem
male,dem
female,dem
female,rep
male,rep
male,other
male,other
male,rep
female,rep
female,other
male,dem
female,other
male,rep
male,dem
male,dem
male,rep
male,dem
male,rep
male,rep
male,dem
male,dem
male,other
male,other
male,rep
female,dem
male,rep
female,dem
male,dem
male,rep
male,other
male,other
male,other
male,rep
female,rep
female,other
male,other
male,other
female,rep
male,rep
female,rep
female,other
male,dem
female,rep
male,rep
male,other
male,rep
male,dem
female,rep
female,other
female,dem
male,dem
male,dem
male,rep
female,rep
male,rep
female,rep
female,other
male,other
female,rep
male,rep
female,dem
male,rep
female,other
female,dem
male,rep
female,rep
male,other
female,rep
male,dem
female,rep
female,other
female,rep
female,other
female,other
male,other
male,dem
female,other
female,other
male,rep
female,dem
male,rep
female,other
female,rep
female,other
female,dem
female,other
male,rep
female,other
