time,weight,type
7.53,5,athlete
8.65,6,athlete
8.3,7,athlete
9.03,8,athlete
8.48,9,athlete
9.37,10,athlete
8.73,11,athlete
10.39,12,athlete
8.56,13,athlete
9.69,14,athlete
8.62,15,athlete
9.81,16,athlete
9.65,17,athlete
8.12,18,athlete
9.76,19,athlete
11.18,20,athlete
9.18,5,athlete
8.74,6,athlete
7.51,7,athlete
9.97,8,athlete
8.98,9,athlete
8.55,10,athlete
10.74,11,athlete
8.43,12,athlete
9.6,13,athlete
10.68,14,athlete
10.1,15,athlete
9.29,16,athlete
9.28,17,athlete
10.16,18,athlete
10.41,19,athlete
10.02,20,athlete
12.32,5,nonathlete
11.13,6,nonathlete
10.7,7,nonathlete
12.14,8,nonathlete
9.6,9,nonathlete
12.39,10,nonathlete
12.7,11,nonathlete
12.18,12,nonathlete
11.48,13,nonathlete
12.41,14,nonathlete
14.55,15,nonathlete
12.46,16,nonathlete
11.07,17,nonathlete
14.41,18,nonathlete
13.3,19,nonathlete
13.49,20,nonathlete
9.78,5,nonathlete
11.18,6,nonathlete
12.1,7,nonathlete
11.01,8,nonathlete
11.19,9,nonathlete
13.1,10,nonathlete
11.95,11,nonathlete
12.24,12,nonathlete
11.97,13,nonathlete
13.7,14,nonathlete
12.01,15,nonathlete
14.05,16,nonathlete
14.21,17,nonathlete
13.13,18,nonathlete
14.65,19,nonathlete
14.99,20,nonathlete
