pretest,teachingProgram,posttest
1.65340189,c,7.666350893
2.76146594,c,10.45723276
0.816845627,c,4.685030441
2.128218651,c,8.57247109
3.336449265,b,12.43676476
2.008587641,c,8.442527065
1.204052652,c,5.019342887
3.696747017,a,9.391505364
2.430286119,a,7.852618148
2.952909877,c,8.849455227
2.659171034,c,9.486199973
1.873694682,a,6.910824783
2.109522993,c,8.948052501
2.640460001,a,6.772540149
3.381230585,a,10.12260883
2.15491395,c,9.820670189
0.956384331,c,5.202091715
3.924947068,a,11.09090262
1.934050348,a,5.763519215
0.994208417,c,5.173231591
2.601550847,a,8.187942746
3.107392742,b,9.348740912
1.484661177,c,5.642514319
1.579520979,b,6.737181364
1.650187209,a,5.286059452
2.260388436,b,6.648181604
2.218413739,c,8.773434277
1.779280503,b,8.018430969
1.295617796,b,4.666139103
2.611832557,c,9.95005133
3.324210068,b,10.77454583
2.212647715,c,7.623119318
2.548725941,a,8.145970925
1.861170975,a,5.906649761
2.292815028,a,6.577004217
0.708959577,b,2.384944646
4.014773052,a,10.86767681
2.295079826,a,6.376328257
0.994559017,c,5.565136373
1.27353419,b,4.127561082
2.410496129,a,6.86143525
1.570544298,b,6.455756705
2.773076167,b,8.80084035
1.658624916,a,4.695365695
0.531211672,c,2.316119751
2.498113251,b,7.728312769
1.835176728,c,7.673667877
2.164137417,b,9.434439655
1.915138051,c,7.029655207
1.767871886,c,9.025426129
4.573169053,a,12.0156553
2.127111483,a,7.666323448
1.853050716,c,8.029543299
1.252311093,c,5.403600605
3.322311874,b,10.07195724
2.487059187,c,8.883788564
2.681107728,a,8.853215102
1.678221614,b,4.131801322
3.099828209,b,8.844802036
1.718424664,b,6.800985507
1.687704486,b,5.749378
-0.043569069,b,-0.176046501
3.682305726,c,14.78810239
1.4762156,b,5.654668271
3.228303776,c,11.1260867
3.438970241,c,10.31633374
0.580926181,b,5.018083847
1.786124552,a,5.684976962
1.97376539,b,7.829002923
2.031553627,a,6.374238583
0.545852851,c,3.777293394
1.670130599,b,5.733541092
1.807158396,b,5.644177824
1.813210673,a,4.207016078
3.537715648,c,12.72795058
1.395096951,a,4.278643458
1.349211789,b,5.469951397
1.778901818,b,6.626422309
2.765247837,a,7.993275725
2.196306724,b,7.381213876
2.65893317,b,9.597812512
2.996917938,a,7.885551455
1.925010368,b,7.850501827
3.439478879,c,11.6933769
0.153414892,c,3.044872513
1.415451478,a,4.323539666
1.943146065,b,5.874260655
1.76722123,a,5.26427943
1.379144473,a,4.811172003
2.08925638,a,4.507793836
1.518049712,a,2.398282776
2.458614341,a,6.961624799
1.12577866,b,5.050168431
1.232656822,b,4.785931388
0.815717165,c,3.892962163
0.782885171,a,0.98403844
2.017910798,a,6.709004908
1.787769898,c,7.971068373
1.06346906,c,4.542996984
2.903951212,c,10.81286114
2.928679868,a,9.83747839
1.650441426,c,7.115736249
2.13691761,a,5.34304505
3.02508734,a,9.683704644
1.720260594,b,6.465337881
1.197955651,a,4.538918337
1.45443478,c,5.371475784
2.892828899,a,8.009542967
1.983157796,c,9.337582254
3.509245984,a,10.47992581
1.610544447,b,5.767149859
-0.13878115,b,0.448069006
1.755814405,c,7.184858602
1.856211953,c,8.277758643
2.414441842,a,7.737651406
2.144465454,b,8.18638734
2.337008486,c,9.356919294
2.655343471,b,8.429883379
1.199849344,c,5.552822018
2.248715779,b,7.972451036
1.944869057,b,8.658717059
2.195087656,a,5.64689422
3.779035231,a,10.65049727
1.455725142,b,6.890578802
3.801779457,a,12.13368336
2.376368528,b,7.849361875
3.410505357,a,11.16094933
1.899871992,a,3.161416809
2.806186778,a,8.046543825
3.332032789,b,10.86529029
3.756456599,a,10.29600005
2.120451448,b,8.116387891
1.799365486,c,6.105215558
4.10797068,a,12.80408952
1.173430411,b,4.68118544
3.707229836,c,14.17527595
2.312288348,c,8.814096993
3.204823742,a,8.826043428
-0.160863684,b,1.346614105
1.116952548,b,5.459716198
2.466618281,b,8.475331763
2.004901918,c,9.436669469
2.849382511,c,10.33242152
3.191204761,b,10.83404224
1.630103778,c,4.937774393
3.264631423,b,12.57887179
0.983719265,c,4.488297811
1.485956278,c,7.150559028
3.253883095,b,11.6222017
2.98429113,a,9.721469909
